百日咳	brk/
苯中毒	bzd/
喘息样支气管炎	cxyzqgy/
成人呼吸窘迫综合征	crhxjpzhz/
大量羊水吸入	dlysxr/
单纯性肺嗜酸粒细胞浸润症	dcxfsslxbjrz/
大叶性肺炎	dyxfy/
大楼病综合征	dlbzhz/
二硫化碳中毒	elhtzd/
肺、胸膜阿米巴病	f_xmambb/
肺出血－肾炎综合征	fcx_syzhz/
肺放线菌病	ffxjb/
肺泡蛋白沉着症	fpdbczz/
肺曲菌病	fqjb/
放射性肺炎	fsxfy/
肺念珠菌病	fnzjb/
肺大疱	fdp/
肺炎球菌肺炎	fyqjfy/
肺气肿	fqz/
肺泡蛋白质沉积症	fpdbzcjz/
肺炎杆菌肺炎	fygjfy/
肺脓肿	fnz/
肺水肿	fsz/
非典	fd/
肺栓塞	fss/
肺炎	fy/
肺转移瘤	fzyl/
肺大泡	fdp_29/
肺炎性假瘤	fyxjl/
肺隐球菌病	fyqjb/
肺癌	fa/
镉中毒	gzd/
感冒	gm/
感染性休克	grxxk/
过敏性休克	gmxxk/
Goodpasture综合征	goodpasturezhz/
过敏性肺炎	gmxfy/
汞中毒	gzd_43/
呼吸道异物	hxdyw/
呼吸性细支气管相关的间质性肺疾病	hxxxzqgxgdjzxfjb/
呼吸衰竭	hxsj/
呼吸道合胞病毒肺炎	hxdhbbdfy/
减压病	jyb/
急性呼吸衰竭	jxhxsj/
急性肺脓肿	jxfnz/
军团病	jtb/
急性呼吸窘迫综合征	jxhxjpzhz/
军团菌病	jtjb/
结核性脓胸	jhxnx/
金黄色葡萄球菌肺炎	jhsptqjfy/
咖啡因与氨茶碱中毒	kfyyacjzd/
卡氏肺囊虫肺炎	ksfncfy/
咯血	kx/
硫化氢中毒	lhqzd/
老年肺炎	lnfy/
流行性感冒	lxxgm/
免疫缺陷者肺炎	myqxzfy/
镍中毒	nzd/
铍中毒	pzd/
缺血缺氧性脑病	qxqyxnb/
气胸	qx/
球孢子菌病	qbzjb/
禽流感	qlg/
迁延性肺嗜酸粒细胞浸润症	qyxfsslxbjrz/
气管肿瘤	qgzl/
气管先天性疾病	qgxtxjb/
气管、支气管狭窄	qg_zqgxz/
乳酸性酸中毒	rsxszd/
热带性肺嗜酸粒细胞浸润症	rdxfsslxbjrz/
手术后和创伤后肺炎	sshhcshfy/
鼾症	hz/
特发性肺纤维化	tfxfxwh/
脱屑性间质性肺炎	txxjzxfy/
特发性阻塞性细支气管炎伴机化性肺炎	tfxzsxxzqgybjhxfy/
特发性含铁血黄素沉着症	tfxhtxhsczz/
外源性过敏性肺泡炎	wyxgmxfpy/
小儿结核病	xejhb/
新生儿呼吸窘迫综合征	xsehxjpzhz/
吸入性损伤	xrxss/
小儿金黄色葡萄球菌肺炎	xejhsptqjfy/
小儿急性支气管炎	xejxzqgy/
小儿流行性感冒	xelxxgm/
小儿急性喉炎	xejxhy/
矽肺	xf/
新生儿窒息	xsezx/
小儿支原体肺炎	xezytfy/
新生儿肺不张	xsefbz/
小儿感冒	xegm/
哮喘	xc/
小儿哮喘	xexc/
小儿肺炎	xefy/
新生儿呼吸暂停	xsehxzt/
先天性肺囊肿	xtxfnz/
休克型肺炎	xkxfy/
吸入性肺炎	xrxfy/
腺病毒肺炎	xbdfy/
哮喘性肺嗜酸粒细胞浸润症	xcxfsslxbjrz/
细菌性肺炎	xjxfy/
新生儿湿肺	xsesf/
胸壁结核	xbjh/
乙醚中毒	ymzd/
淹溺	yn/
衣原体肺炎	yytfy/
羊水与胎粪吸入综合征	ysytfxrzhz/
一氧化碳中毒	yyhtzd/
阻塞性肺气肿	zsxfqz/
支原体肺炎	zytfy/
支气管扩张	zqgkz/
支气管肺炎	zqgfy/
变应性血管炎	byxxgy/
病毒性心肌炎	bdxxjy/
病态窦房结综合征	btdfjzhz/
川崎病	cqb/
穿透性心脏外伤	ctxxzws/
窦性停搏	dxtb/
单心室	dxs/
单心房	dxf/
单纯性下肢静脉曲张	dcxxzjmqz/
动脉硬化	dmyh/
动脉导管未闭	dmdgwb/
窦性心动过速	dxxdgs/
动脉瘤	dml/
二尖瓣关闭不全	ejbgbbq/
二尖瓣狭窄	ejbxz/
二尖瓣脱垂综合征	ejbtczhz/
二尖瓣环钙化	ejbhgh/
肺性脑病	fxnb/
风湿性二尖瓣狭窄	fsxejbxz/
风湿性二尖瓣关闭不全	fsxejbgbbq/
肥厚型梗阻性心肌病	fhxgzxxjb/
房室管畸形	fsgjx/
法乐四联症	flslz/
风湿热	fsr/
肺动脉口狭窄	fdmkxz/
肥厚型心肌病	fhxxjb/
房室传导阻滞	fscdzz/
肺动静脉瘘	fdjml/
高血压危象	gxywx/
高血压	gxy/
冠状动脉终止异常	gzdmzzyc/
冠状动脉异位起源	gzdmywqy/
感染性心内膜炎	grxxnmy/
冠心病	gxb/
后天性三尖瓣关闭不全	htxsjbgbbq/
后天性动静脉瘘	htxdjml/
间歇性眼球突出症	jxxyqtcz/
急性心肌梗死	jxxjgs/
酒精性心肌病	jjxxjb/
急性心功能不全	jxxgnbq/
急性感染性心内膜炎	jxgrxxnmy/
急性心包炎	jxxby/
急性心力衰竭	jxxlsj/
甲亢	jk/
扩张型心肌病	kzxxjb/
克山病	ksb/
雷诺病	lnb/
慢性肺源性心脏病	mxfyxxzb/
缺血性心肌病	qxxxjb/
四肢血栓性浅静脉炎	szxsxqjmy/
三尖瓣下移畸形	sjbxyjx/
三尖瓣狭窄	sjbxz/
三尖瓣关闭不全	sjbgbbq/
三尖瓣闭锁	sjbbs/
三房心	sfx/
颈动脉体瘤	jdmtl/
完全性肺静脉异位回流	wqxfjmywhl/
完全性大动脉错位	wqxddmcw/
休克	xk/
新生儿缺氧缺血性脑病	xseqyqxxnb/
新生儿硬肿症	xseyzz/
血管瘤	xgl/
先天性风疹	xtxfz/
血栓闭塞性脉管炎	xsbsxmgy/
胸降主动脉动脉瘤	xjzdmdml/
胸主动脉夹层动脉瘤	xzdmjcdml/
心脏神经官能症	xzsjgnz/
心内膜弹性纤维增生症	xnmdxxwzsz/
心绞痛	xjt/
心肌梗塞并发心室间隔穿破	xjgsbfxsjgcp/
心肌梗塞并发二尖瓣关闭不全	xjgsbfejbgbbq/
心肌梗死	xjgs/
心功能障碍	xgnza/
心包囊肿	xbnz/
小儿高血压	xegxy/
小儿充血性心力衰竭	xecxxxlsj/
心肌梗塞并发左心室室壁瘤	xjgsbfzxssbl/
先天性主动脉缩窄	xtxzdmsz/
先天性主动脉弓畸形	xtxzdmgjx/
先天性主动脉瓣下狭窄	xtxzdmbxxz/
先天性主动脉瓣上狭窄	xtxzdmbsxz/
先天性动脉导管未闭	xtxdmdgwb/
先天性动静脉瘘	xtxdjml/
先天性二尖瓣畸形	xtxejbjx/
心包积液	xbjy/
心肌病	xjb/
心律失常	xlsc/
限制型心肌病	xzxxjb/
心房扑动与心房颤动	xfpdyxfcd/
心室内传导阻滞	xsncdzz/
先天性主动脉瓣窦动脉瘤破裂	xtxzdmbddmlpl/
心包肿瘤	xbzl/
血管运动性鼻炎	xgydxby/
胸腔积液	xqjy/
心肌炎	xjy/
心脏内粘液瘤	xznzyl/
心室间隔缺损	xsjgqs/
羊水过多	ysgd/
原发性下肢静脉瓣膜关闭不全	yfxxzjmbmgbbq/
亚急性感染性心内膜炎	yjxgrxxnmy/
乙状窦血栓性静脉炎	yzdxsxjmy/
左心室双出口	zxssck/
左心发育不良	zxfybl/
自发性血胸	zfxxx/
主-肺动脉隔缺损	z_fdmgqs/
主动脉夹层	zdmjc/
主动脉瓣狭窄合并关闭不全	zdmbxzhbgbbq/
