Asperger综合征	zhengzhuang/aspergerzhz/
阿罗瞳孔	zhengzhuang/altk/
阿司匹林过敏	zhengzhuang/asplgm/
癌细胞逆行播散	zhengzhuang/axbnxbs/
癌性发热	zhengzhuang/axfr/
癌性输尿管狭窄	zhengzhuang/axsngxz/
癌症晚期胃肠道症状	zhengzhuang/azwqwcdzz/
嗳腐	zhengzhuang/af/
嗳气	zhengzhuang/aq/
嗳气时有腐败鸡蛋的气味	zhengzhuang/aqsyfbjddqw/
安静腹	zhengzhuang/ajf/
氨基酸尿症	zhengzhuang/ajsnz/
鞍鼻	zhengzhuang/ab/
凹甲	zhengzhuang/aj/
凹陷瘢痕	zhengzhuang/axbh/
凹陷性疤痕	zhengzhuang/axxbh/
β-氨基酸尿	zhengzhuang/_ajsn/
八字脚步态	zhengzhuang/bzjbt/
疤痕处破损后出现溃疡	zhengzhuang/bhcpshcxky/
疤痕奇痒	zhengzhuang/bhqy/
疤痕体质	zhengzhuang/bhtz/
疤痕萎缩凹陷	zhengzhuang/bhwsax/
疤痕形成	zhengzhuang/bhxc/
疤痕增生	zhengzhuang/bhzs/
拔牙后出血不止	zhengzhuang/byhcxbz/
拔牙后伤口经久不愈	zhengzhuang/byhskjjby/
白带	zhengzhuang/bd/
白带增多	zhengzhuang/bdzd/
白痱	zhengzhuang/bf/
白喉假膜形成	zhengzhuang/bhjmxc/
白甲	zhengzhuang/bj/
白色恶露	zhengzhuang/bsel/
白色黏液状尿	zhengzhuang/bsnyzn/
白色尿液	zhengzhuang/bsny/
白天不自觉地将牙咬紧	zhengzhuang/btbzjdjyyj/
白天嗜睡夜间失眠	zhengzhuang/btssyjsm/
白头粉刺	zhengzhuang/btfc/
白细胞减少	zhengzhuang/bxbjs/
白细胞尿	zhengzhuang/bxbn/
白细胞增多	zhengzhuang/bxbzd/
白血病细胞浸润	zhengzhuang/bxbxbjr/
白晕	zhengzhuang/by/
白渣样鼻涕	zhengzhuang/bzybt/
百特异症状	zhengzhuang/btyzz/
柏油便	zhengzhuang/byb/
败血症	zhengzhuang/bxz/
败血症的征象	zhengzhuang/bxzdzx/
白色念珠菌感染	zhengzhuang/bsnzjgr/
猜疑	zhengzhuang/cy/
菜花耳	zhengzhuang/che/
餐后发作性腹痛	zhengzhuang/chfzxft/
餐后血糖高	zhengzhuang/chxtg/
餐后血糖过低	zhengzhuang/chxtgd/
餐后综合征	zhengzhuang/chzhz/
残株型骨折	zhengzhuang/czxgz/
侧肋骨痛	zhengzhuang/clgt/
侧卧时位于下侧鼻腔出现鼻塞	zhengzhuang/cwswyxcbqcxbs/
产道裂伤	zhengzhuang/cdls/
产妇颈背酸痛	zhengzhuang/cfjbst/
产后便血	zhengzhuang/chbx/
产后垂体坏死	zhengzhuang/chcths/
产后恶露不净有臭味	zhengzhuang/chelbjycw/
产后发热	zhengzhuang/chfr/
产后肥胖	zhengzhuang/chfp/
产后腹痛	zhengzhuang/chft/
产后极度虚弱	zhengzhuang/chjdxr/
产后极端行为	zhengzhuang/chjdxw/
产后口渴	zhengzhuang/chkk/
产后全身酸痛	zhengzhuang/chqsst/
产后手指痛	zhengzhuang/chszt/
产后头痛	zhengzhuang/chtt/
产后脱发	zhengzhuang/chtf/
斑丘疹	zhengzhuang/bqz/
斑丘疹	zhengzhuang/bqz_85/
斑秃	zhengzhuang/bt/
斑疹	zhengzhuang/bz/
板状腹	zhengzhuang/bzf/
半侧面部发育不良	zhengzhuang/bcmbfybl/
半年或1岁以后逐步出现智能减退	zhengzhuang/bnh1syhzbcxznjt/
半乳糖血症	zhengzhuang/brtxz/
